ref,desc
530,Sunga infantil básica
810,Calção de banho adulto básico
902,Calcinha básica
905,Calcinha com cós
1000,Conjunto baby com blusa UV
1001,Blusa UV unissex infantil
1003,Calção de banho infantil com detalhe
1004,Sunga infantil estampada
1005,Calção de banho infantil estampado
1010,Conjunto infantil sorvete
1011,Conjunto baby
1012,Maiô infantil engana mamãe sorvete
1013,Maiô baby com babadinho
1014,Conjunto infantil filha
1020,Conjunto juvenil fru fru
1021,Conjunto juvenil com bojo
1022,Conjunto juvenil cropped
1032,Calção de banho adulto com detalhe
1034,Calção de banho adulto estampado
1050,Conjunto com manga tule
1051,Saída de banho tule transpassada
1060,Conjunto listrado com passante
1070,Conjunto xadrez de amarrar
1080,Conjunto cortinão mãe
1085,Conjunto cortininha bicolor
1090,COnjunto liso com drapeados
1100,Sutiã detalhe suporte
1101,Sutiã cortinão strappy
1102,Calcinha lateral 2
1103,Calcinha fio lateral 2
1109,Saída franzida
1110,Conjunto suporte trançado
1111,Conjunto reforçado detalhe cós
1121,Calcinha fio com lateral drapeada
1122,Sutiã cortinão fru fru
1123,Calcinha fru fru
1124,Calcinha com lateral drapeada
1125,Sutiã de amarrar
1130,Conjunto cortinão trança
1131,Conjunto mescla
1140,Conjunto frufru
1150,Conjunto estampado com babados evasê
1160,Conjnuto cropped listras
1161,Saída de banho listras
1170,Conjunto listras e flores
1180,Sutiã TQC com trança
1182,Top reforçado com bojo confort
1183,Calcinha hot pant trançada
1184,Top cropped com bojo
1185,Short de franzir com forro
1191,Maiô com bojo e alça reforçada
1193,Maiô detalhe estampa localizada
1194,Maiô com aro e alça reforçada
1195,Maiô engana mamãe com bojo
1200,Saia xadrez
1205,Short cós amarrar
1210,Saída de banho arrastão
3195,Maiô perninha
4112,Sutiã reforçado
4122,Cortinão
